Id,Label,no,scale,dimension,value,type,Degree,Weighted Degree,Factors
Changes in rural development policies,Changes in rural development policies,1,Macro,Social,2.75,Factor,7,20.33,Kırsal kalkınma politikalarındaki eksiklikler
Improving health care facilities,Improving health care facilities,20,Mezzo,Social,3.16,Solutions,5,14.82,Sağlık tesislerinin iyileştirilmesi
Improving education service opportunities,Improving education service opportunities,21,Mezzo,Social,3.08,Solutions,6,17.52,Eğitim hizmeti olanaklarının iyileştirilmesi
Establish research institutions (federal level) in rural areas (incubators),Establish research institutions (federal level) in rural areas (incubators),24,Macro,Economic,3,Solutions,6,18.07,Kırsal alanlarda araştırma kurumları kurulması (inkübatörler)
Increasing and improving public transportation facilities,Increasing and improving public transportation facilities,25,Mezzo,Economic,3.72,Solutions,8,26.97,Toplu taşıma olanaklarının artırılması ve iyileştirilmesi
Creation of a new generation of co-working spaces and production areas (3D printers),Creation of a new generation of co-working spaces and production areas (3D printers),27,Micro,Economic,2.63,Solutions,10,28.06,"Yeni nesil ortak çalışma alanları, üretim alanları"
Regional use of renewable energy sources,Regional use of renewable energy sources,30,Macro,Ecological,2.78,Solutions,7,20.41,Yenilenebilir enerji kaynaklarının bölgesel kullanımı
Promote ecological agriculture,Promote ecological agriculture,31,Mezzo,Ecological,3,Solutions,5,14.63,Ekolojik tarımı teşvik etmek
Lack of knowledge about local needs,Lack of knowledge about local needs,3,Macro,Social,3,Factor,3,9.03,Yerel ihtiyaçlar hakkında bilgi eksikliği
Tourism promotion and infrastructure investments,Tourism promotion and infrastructure investments,26,Mezzo,Economic,2.79,Solutions,5,14.7,Turizm tanıtımı ve altyapı yatırımları
Broadband Internet access,Broadband Internet access,29,Micro,Economic,3.67,Solutions,8,26.95,Geniş bant internet erişimi
Inadequate public services or difficult access to the district,Inadequate public services or difficult access to the district,4,Mezzo,Social,2.8,Factor,1,3.25,İlçedeki kamusal hizmetlerin yetersizliği/zor erişim
"Inadequate educational services (schools, courses, kindergartens, etc.)","Inadequate educational services (schools, courses, kindergartens, etc.)",5,Mezzo,Social,2.54,Factor,3,8.15,"Eğitim hizmetlerinin yetersizliği (Okul, kurs, kreş vb.)"
Promote intergenerational housing projects,Promote intergenerational housing projects,22,Mezzo,Social,3,Solutions,6,17.84,Nesiller arası konut projelerinin teşvik edilmesi
"Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)","Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",6,Mezzo,Social,2.5,Factor,2,5.71,"Sağlık hizmetlerinin yetersizliği (Hastane, Yaşlı Bakımevi, vb.)"
Migration to city or district centre,Migration to city or district centre,7,Mezzo,Social,2.5,Factor,11,30.7,Kent /ilçe merkezine göç
Consultation for digital literacy in the villages,Consultation for digital literacy in the villages,23,Micro,Social,2.58,Solutions,4,10.73,Köylerde dijital okuryazarlık için danışmanlık
Insufficient attractiveness / perspective for young people,Insufficient attractiveness / perspective for young people,8,Mezzo,Social,3,Factor,8,23.97,Gençler için yetersiz çekicilik / perspektif
Aging,Aging,9,Micro,Social,3.24,Factor,7,21.58,Yaşlanma
Difficulty of access to the health care services in villages,Difficulty of access to the health care services in villages,10,Micro,Social,2.88,Factor,3,8.87,Köylerde Sağlık hizmetine erişimin zor olması
Difficulty of access to education services in villages,Difficulty of access to education services in villages,11,Micro,Social,2.52,Factor,3,8.6,Köylerde Eğitim hizmetlerine erişimin zor olması
Sparse or insufficient regional rail /public transport network,Sparse or insufficient regional rail /public transport network,12,Macro,Economic,3.48,Factor,1,3.6,Seyrek veya yetersiz bölgesel demiryolu/toplu taşıma ağı
Inadequate regional investments,Inadequate regional investments,13,Macro,Economic,3,Factor,6,17.93,Bölgesel yatırımların eksikliği
Lack of adequate and varied transport connections,Lack of adequate and varied transport connections,14,Mezzo,Economic,3.44,Factor,1,3.58,Ulaşım altyapısının yeterli ve çeşitli olmaması
Lack of sufficient and diverse enterprises and industrial zones,Lack of sufficient and diverse enterprises and industrial zones,15,Mezzo,Economic,2.96,Factor,4,11.95,"İşletmelerin, sanayi bölgesinin yeterli veya çeşitli olmaması"
Lack of sufficient and varied job opportunities,Lack of sufficient and varied job opportunities,16,Micro,Economic,3.92,Factor,6,20.68,İş olanaklarının yetersiz olması veya çeşitli olmaması
Insufficient or infrequent public transport facilities,Insufficient or infrequent public transport facilities,17,Micro,Economic,3.52,Factor,1,3.62,Toplu ulaşım olanaklarının az veya seyrek olması
Inadequate communication and internet access,Inadequate communication and internet access,18,Micro,Economic,3,Factor,2,6.14,İletişim ve internet erişiminin yetersiz olması
Lack of soil quality for agriculture,Lack of soil quality for agriculture,19,Micro,Ecological,3,Factor,1,3,Tarım için toprak kalitesinin yetersizliği
