questionId	question_text	node_label	node_type
1	Deficiencies in national - regional development policies	Deficiencies in national - regional development policies	Factors
2	Changes in rural development policies	Changes in rural development policies	Factors
3	Inadequate regional investments	Inadequate regional investments	Factors
4	Inadequate agricultural support	Inadequate agricultural support	Factors
5	Lack of Agricultural product planning system	Lack of Agricultural product planning system	Factors
6	Lack of regulation of purchase and sale prices of agricultural products	Lack of regulation of purchase and sale prices of agricultural products	Factors
7	Other_Closure of factories	Closure of factories	Factors
8	Environmental pollution in the region	Environmental pollution in the region	Factors
9	Destruction of natural resources in the region	Destruction of natural resources in the region	Factors
10	Migration to city or district centre	Migration to city or district centre	Factors
11	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Factors
12	Inadequate educational services (schools, courses, kindergartens, etc.)	Inadequate educational services (schools, courses, kindergartens, etc.)	Factors
13	Other_Lack of agricultural production profit	Lack of agricultural production profit	Factors
14	Environmental pollution in the district	Environmental pollution in the district	Factors
15	Dry Seasons	Dry Seasons	Factors
16	Migration	Migration	Factors
17	Aging	Aging	Factors
18	Difficulty of access to the health care services in villages	Difficulty of access to the health care services in villages	Factors
19	Difficulty of access to education services in villages	Difficulty of access to education services in villages	Factors
20	Lack of sufficient and varied job opportunities	Lack of sufficient and varied job opportunities	Factors
21	Expensiveness	Expensiveness	Factors
22	Inadequate irrigation infrastructure	Inadequate irrigation infrastructure	Factors
23	Inactive cooperatives and lack of support	Inactive cooperatives and lack of support	Factors
24	Other_Lack of quality of life and living conditions	Lack of quality of life and living conditions	Factors
25	Other_Accessibility	Accessibility	Factors
26	Diseases and pests in agricultural and animal products	Diseases and pests in agricultural and animal products	Factors
27	Pollutant effect of industrial plants or mining sites	Pollutant effect of industrial plants or mining sites	Factors
28	Depletion or destruction of local natural resources	Depletion or destruction of local natural resources	Factors
29	Other_Usage of foreign seeds	Usage of foreign seeds	Factors
30	Other_Misuse of pasture areas	Misuse of pasture areas	Factors
31	Improving education services	Improving education services	Solutions
32	Improving health care facilities	Improving health care facilities	Solutions
33	Socializing and shopping facilities for young population	Socializing and shopping facilities for young population	Solutions
34	Reducing and eliminating environmental problems	Reducing and eliminating environmental problems	Solutions
35	Supporting agricultural production	Supporting agricultural production	Solutions
36	Supporting commercial enterprises, SMEs	Supporting commercial enterprises, SMEs	Solutions
37	Supporting cooperatives	Supporting cooperatives	Solutions
38	Supporting sharing economy	Supporting sharing economy	Solutions
39	Establishment of common production areas in villages such as cold stores, small production facilities	Establishment of common production areas in villages such as cold stores, small production facilities	Solutions
40	Providing consultancy services of veterinary, agricultural or forest engineering to villages	Providing consultancy services of veterinary, agricultural or forest engineering to villages	Solutions
41	Other_Removal of taxes	Removal of taxes	Solutions
