Id,Pop_2018,Elder_rate_2011,Pop_Chg_Rate_2017-2018,Pop_Chg_rate_2011-2018,Pop_Chg_rate_2001-2018,Pop_Chg_rate_1995-2018,Dist__to_Luchow (km),Dist_to_Dann(km),Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Fac_Env,Fac_Relig,Settle,Fac_Sum,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att_per1000,Fac_Env_per1000,Fac_Relig_per1000,Fac_all_per1000,Urban (ha),Indust(ha),Mine(ha),Agri(ha),Forest_Tot,WetWat(ha),LC_sum(ha),Urban (per),Indust (per),Mine (per),Urban_for (per),Agri (per),Forest_tot (per),WetWat (per),Degree,Weig_Degr,Clos_cent,Betw_cent,Brid_cent,Eigen_cent,Clust_Coef,Triangles,Eccentricity,Modul,Cluter-ID
Bergen an der Dumme,1436,21.9,21.11267724,-1.5,-0.54,-0.59,18.676998,26.469146,7,13,8,23,5,2,8,58,4.874651811,9.052924791,5.571030641,16.01671309,3.48189415,1.39275766,40.38997214,251.0801773,0,0,5873.48272,914.6492175,0,7039.212115,3.566878981,0,0,0,83.43949045,12.99363057,0,3,5.5,0.329114,3.11039,0.003681,0.172658,0.666667,2,5,0,2
Clenze,2299,24.3,-5.206085511,-0.39,-0.13,-0.22,15.022847,20.729565,18,18,30,19,6,5,30,96,7.829491083,7.829491083,13.04915181,8.26446281,2.609830361,2.174858634,41.75728578,277.9816249,0,0,12383.63303,7137.850756,0,19799.46541,1.403985507,0,0,0,62.54528986,36.05072464,0,6,10,0.38806,29.72711,0.010155,0.478874,0.4,6,5,0,2
Damnatz,291,29.1,24.34902901,-1.18,-1.25,-1.02,20.926582,9.485057,4,4,5,5,1,1,5,20,13.74570447,13.74570447,17.18213058,17.18213058,3.436426117,3.436426117,68.72852234,152.4415362,0,0,3837.939854,179.3429838,340.7516693,4510.476043,3.37972167,0,0,0,85.08946322,3.976143141,7.554671968,3,4,0.382353,1.759524,0.003857,0.337471,0.666667,2,4,2,1
Dannenberg (Elbe),8200,24.2,-13.4457843,0.19,-0.3,-0.16,16.22756,0,44,74,30,35,20,5,30,208,5.365853659,9.024390244,3.658536585,4.268292683,2.43902439,0.609756098,25.36585366,1425.776721,116.5729395,161.4086854,16983.78057,2205.918701,331.7845201,21225.24214,6.717363752,5.492184199,0.760456274,0,80.01689903,10.39290241,1.563160118,8,28.5,0.541667,65.576371,0.018423,0.878321,0.392857,11,3,2,1
Gartow,1425,37.5,9.87314085,0.7,-0.12,0.03,23.188108,27.336028,6,23,8,32,7,3,8,79,4.210526316,16.14035088,5.614035088,22.45614035,4.912280702,2.105263158,55.43859649,484.2260563,0,0,4250.428717,2770.8491,295.9159233,7801.419796,6.206896552,0,0,19.54022989,54.48275862,35.51724138,3.793103448,5,11,0.376812,25,0.009133,0.391702,0.6,6,5,1,0
Gohrde,581,18.6,-20.44364215,-1.16,-1.26,-0.98,26.045449,11.813579,1,3,18,6,5,1,18,34,1.721170396,5.163511188,30.98106713,10.32702238,8.605851979,1.721170396,58.51979346,71.73719353,0,0,4071.085733,7110.949308,0,11253.77223,0.637450199,0,0,0,36.1752988,63.187251,0,5,11,0.4,14.465981,0.007623,0.433979,0.5,5,4,2,1
Gorleben,597,30.7,-5.012541824,-0.88,-0.37,-0.34,17.908903,20.125222,1,5,2,6,2,2,2,18,1.675041876,8.37520938,3.350083752,10.05025126,3.350083752,3.350083752,30.15075377,206.2444314,71.73719353,0,1721.692645,3837.939854,170.3758346,6007.989958,3.432835821,1.194029851,0,0,28.65671642,63.88059701,2.835820896,8,11.5,0.509804,66.714105,0.018629,0.826435,0.464286,13,4,1,0
Gusborn,1205,28.5,9.170551972,-0.29,-0.36,-0.28,17.218398,8.466401,3,3,9,5,5,1,9,26,2.489626556,2.489626556,7.468879668,4.149377593,4.149377593,0.829875519,21.57676349,358.6859676,0,0,8671.233268,4313.198761,125.5400887,13468.65808,2.663115846,0,0,0,64.38082557,32.02396804,0.932090546,7,9.5,0.52,31.74412,0.011616,0.821218,0.47619,10,3,2,0
Hitzacker (Elbe),4951,30.8,10.15031045,-0.11,-0.16,-0.07,23.074817,8.352627,14,44,18,47,10,2,18,135,2.827711573,8.887093516,3.635629166,9.493031711,2.019793981,0.403958796,27.26721874,807.0434272,0,0,7693.814006,7317.19374,493.1932055,16311.24438,4.947773502,0,0,4.947773502,47.16877405,44.85981308,3.023639362,5,16,0.4,13.157035,0.006222,0.405979,0.5,5,4,2,1
Hohbeck,638,19.5,-6.250020345,-0.35,-0.97,-0.84,24.795227,26.742432,2,2,5,17,1,3,5,30,3.134796238,3.134796238,7.836990596,26.64576803,1.567398119,4.702194357,47.02194357,286.9487741,0,0,3335.779499,1443.71102,331.7845201,5398.223813,5.315614618,0,0,0,61.79401993,26.74418605,6.146179402,4,6,0.371429,0,0,0.381348,1,6,5,1,0
Jameln,1074,23.6,36.02285225,0.03,-0.32,-0.16,11.172836,6.824147,3,4,12,5,3,4,12,31,2.793296089,3.724394786,11.17318436,4.655493482,2.793296089,3.724394786,28.86405959,233.145879,0,0,7326.160889,2510.801773,0,10070.10854,2.31522707,0,0,0,72.75155833,24.9332146,0,8,15,0.509804,45.686057,0.0144,0.920444,0.464286,13,4,3,2
Karwitz,733,26,9.595687062,-0.06,-0.51,-0.23,19.892386,6.245864,1,0,9,0,0,1,9,11,1.36425648,0,12.27830832,0,0,1.36425648,15.00682128,125.5400887,0,44.83574595,2842.586294,5756.909781,0,8769.871909,1.431492843,0,0.511247444,0,32.41308793,65.64417178,0,7,16.5,0.440678,16.179401,0.005962,0.719631,0.52381,11,4,3,1
Kusten,1368,21,-15.95392794,-0.06,-0.2,-0.03,6.832748,14.186697,5,7,20,9,5,7,20,53,3.65497076,5.116959064,14.61988304,6.578947368,3.65497076,5.116959064,38.74269006,89.67149191,0,0,9119.590727,2277.655895,0,11486.91811,0.780640125,0,0,0,79.3911007,19.82825917,0,7,12.5,0.481481,23.430051,0.009078,0.748729,0.52381,11,4,3,2
Langendorf,692,27,10.16711736,-0.49,-0.19,-0.41,18.62038,11.779549,3,2,7,3,1,1,7,17,4.335260116,2.89017341,10.11560694,4.335260116,1.445086705,1.445086705,24.56647399,179.3429838,0,0,5685.172587,4913.997757,511.1275039,11289.64083,1.588562351,0,0,0,50.35742653,43.52660842,4.527402701,4,4.5,0.42623,1.1,0.001657,0.526618,0.833333,5,4,1,0
Lemgow,1346,25.3,-14.74952993,-0.5,-0.63,-0.59,13.368658,27.369749,8,4,13,7,3,8,13,43,5.943536404,2.971768202,9.658246657,5.200594354,2.228826152,5.943536404,31.94650817,143.4743871,0,0,14105.32568,3371.648096,0,17620.44816,0.814249364,0,0,0,80.05089059,19.13486005,0,3,4,0.333333,1.5,0.002495,0.205169,0.666667,2,5,4,3
Lubbow,805,17.1,-4.95663964,-0.54,-0.3,0.06,6.995757,22.602788,2,2,3,4,1,2,3,14,2.48447205,2.48447205,3.726708075,4.968944099,1.242236025,2.48447205,17.39130435,269.0144757,0,0,4089.020031,950.5178142,0,5308.552321,5.067567568,0,0,0,77.02702703,17.90540541,0,4,10,0.40625,9.616667,0.007653,0.316445,0.5,3,4,4,3
Luchow (Wendland),9388,24.7,14.1602881,-0.12,-0.23,-0.2,0,16.22756,39,106,24,47,27,12,24,255,4.154239455,11.2910098,2.556455049,5.006391138,2.87601193,1.278227524,27.1623349,1192.630842,367.6531168,0,19978.8084,3075.732173,0,24614.82453,4.845173042,1.493624772,0,0,81.16575592,12.49544627,0,10,24,0.577778,103.401479,0.016798,1,0.266667,12,3,4,2
Luckau (Wendland),542,17.1,-20.09200008,-2.55,-0.86,-0.35,8.574332,18.565427,4,0,11,6,3,3,11,27,7.380073801,0,20.29520295,11.0701107,5.535055351,5.535055351,49.81549815,0,0,0,5568.599648,591.8318466,0,6160.431494,0,0,0,0,90.3930131,9.6069869,0,5,8.5,0.440678,25.817406,0.014763,0.438595,0.4,4,4,0,2
Neu Darchau,1383,30.4,9.444312843,-0.41,-0.56,-0.42,37.547381,22.877439,5,9,10,21,3,3,10,51,3.615328995,6.507592191,7.23065799,15.18438178,2.169197397,2.169197397,36.87635575,269.0144757,0,0,2537.703221,3138.502217,412.4888628,6357.708776,4.231311707,0,0,0,39.91537377,49.36530324,6.488011283,2,5,0.295455,0,0,0.138311,1,1,5,2,1
Prezelle,420,21.2,-21.20220765,-2.09,-1.74,-1.3,18.113491,28.742593,3,0,5,1,1,3,5,13,7.142857143,0,11.9047619,2.380952381,2.380952381,7.142857143,30.95238095,134.5072379,0,0,5747.942631,5595.501095,0,11477.95096,1.171875,0,0,0,50.078125,48.75,0,6,9,0.38806,10.484524,0.004297,0.473698,0.533333,8,5,1,0
Schnackenburg,564,34.6,3.552401604,-0.69,-1.04,-0.91,32.081299,36.676242,1,4,4,12,1,4,4,26,1.773049645,7.092198582,7.092198582,21.27659574,1.773049645,7.092198582,46.09929078,80.70434272,0,0,5245.782277,771.1748304,313.8502217,6411.511672,1.258741259,0,0,0,81.81818182,12.02797203,4.895104895,1,2.5,0.276596,0,0,0.06586,0,0,6,1,0
Schnega,1315,28.3,-8.330226134,-0.57,-0.94,-0.86,22.168599,27.875317,6,4,24,15,1,3,24,53,4.562737643,3.041825095,18.25095057,11.40684411,0.760456274,2.281368821,40.30418251,80.70434272,0,0,10563.30175,4214.56012,0,14858.56621,0.543150272,0,0,0,71.09233555,28.36451418,0,2,3.5,0.285714,0,0,0.110407,1,1,6,0,2
Trebel,972,25.8,-31.3949835,0.51,-0.38,-0.34,12.574712,21.264515,2,4,11,18,3,1,11,39,2.057613169,4.115226337,11.31687243,18.51851852,3.086419753,1.028806584,40.12345679,98.6386411,0,0,10392.92591,7864.18984,35.86859676,18391.62299,0.536323745,0,0,0,56.50901999,42.75962945,0.195026816,7,13,0.433333,13.545274,0.004461,0.628564,0.47619,10,4,1,0
Waddeweitz,900,24.6,12.29752781,-0.16,-0.58,-0.24,14.794797,15.049297,1,3,21,10,3,3,21,41,1.111111111,3.333333333,23.33333333,11.11111111,3.333333333,3.333333333,45.55555556,0,0,0,7909.025586,5658.27114,0,13567.29673,0,0,0,0,58.29477859,41.70522141,0,5,9.5,0.393939,4.004383,0.00317,0.547913,0.8,8,5,3,2
Woltersdorf,896,17.8,6.718950249,-0.91,-0.9,-0.32,4.785162,19.134087,2,3,5,5,2,1,5,18,2.232142857,3.348214286,5.580357143,5.580357143,2.232142857,1.116071429,20.08928571,215.2115806,0,62.77004434,6097.66145,1363.006677,0,7738.649752,2.780996524,0,0.811123986,0,78.79490151,17.61297798,0,5,12,0.433333,15.601335,0.00967,0.432228,0.4,4,4,4,3
Wustrow (Wendland),2788,20,-1.433692002,-0.43,-0.75,-0.49,6.643395,22.021346,13,12,12,20,14,2,12,73,4.662840746,4.304160689,4.304160689,7.173601148,5.021520803,0.717360115,26.18364419,475.2589071,0,0,6797.099087,1040.189306,0,8312.5473,5.717367853,0,0,0,81.76914779,12.51348436,0,3,6,0.40625,2.592857,0.004835,0.286347,0.666667,2,4,4,2
Zernien,1615,31,-4.324999019,0.51,-0.05,0.1,23.649451,14.516978,6,9,18,4,5,2,18,44,3.715170279,5.572755418,11.14551084,2.476780186,3.095975232,1.238390093,27.24458204,260.0473265,0,0,6698.460446,7442.733829,0,14401.2416,1.805728518,0,0,13.69863014,46.51307597,51.68119552,0,5,10.5,0.38806,4.785931,0.003633,0.541078,0.7,7,5,3,2
