Id,Label,no,scale,dimension,value,type,Degree,Weighted Degree,Size,Color
Changes in rural development policies,Changes in rural development policies,1,Macro,Social,2.75,Factor,7,20.33,66.559288,"#4277ff"
Improving health care facilities,Improving health care facilities,20,Mezzo,Social,3.16,Solutions,5,14.82,48.790878,"#4277ff"
Improving education service opportunities,Improving education service opportunities,21,Mezzo,Social,3.08,Solutions,6,17.52,57.497719,"#4277ff"
Establish research institutions (federal level) in rural areas (incubators),Establish research institutions (federal level) in rural areas (incubators),24,Macro,Economic,3,Solutions,6,18.07,59.271332,"#eb1c00"
Increasing and improving public transportation facilities,Increasing and improving public transportation facilities,25,Mezzo,Economic,3.72,Solutions,8,26.97,87.971657,"#eb1c00"
Creation of a new generation of co-working spaces and production areas (3D printers),"New generation co-working spaces, production areas",27,Micro,Economic,2.63,Solutions,10,28.06,91.486641,"#eb1c00"
Regional use of renewable energy sources,Regional use of renewable energy sources,30,Macro,Ecological,2.78,Solutions,7,20.41,66.817261,"#28b36a"
Promote ecological agriculture,Promote ecological agriculture,31,Mezzo,Ecological,3,Solutions,5,14.63,48.178173,"#28b36a"
Lack of knowledge about local needs,Lack of knowledge about local needs,3,Macro,Social,3,Factor,3,9.03,30.119543,"#4277ff"
Tourism promotion and infrastructure investments,Tourism promotion and infrastructure investments,26,Mezzo,Economic,2.79,Solutions,5,14.7,48.403908,"#eb1c00"
Broadband Internet access,Broadband Internet access,29,Micro,Economic,3.67,Solutions,8,26.95,87.907166,"#eb1c00"
Inadequate public services or difficult access to the district,Inadequate public services or difficult access to the district,4,Mezzo,Social,2.8,Factor,1,3.25,11.480456,"#4277ff"
"Inadequate educational services (schools, courses, kindergartens, etc.)","Inadequate educational services (schools, courses, kindergartens, etc.)",5,Mezzo,Social,2.54,Factor,3,8.15,27.281757,"#4277ff"
Promote intergenerational housing projects,Promote intergenerational housing projects,22,Mezzo,Social,3,Solutions,6,17.84,58.529644,"#4277ff"
"Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)","Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",6,Mezzo,Social,2.5,Factor,2,5.71,19.413355,"#4277ff"
Migration to city or district centre,Migration to city or district centre,7,Mezzo,Social,2.5,Factor,11,30.7,100,"#4277ff"
Consultation for digital literacy in the villages,Consultation for digital literacy in the villages,23,Micro,Social,2.58,Solutions,4,10.73,35.601627,"#4277ff"
Insufficient attractiveness / perspective for young people,Insufficient attractiveness / perspective for young people,8,Mezzo,Social,3,Factor,8,23.97,78.297394,"#4277ff"
Aging,Aging,9,Micro,Social,3.24,Factor,7,21.58,70.590225,"#4277ff"
Difficulty of access to the health care services in villages,Difficulty of access to the health care services in villages,10,Micro,Social,2.88,Factor,3,8.87,29.603582,"#4277ff"
Difficulty of access to education services in villages,Difficulty of access to education services in villages,11,Micro,Social,2.52,Factor,3,8.6,28.732899,"#4277ff"
Sparse or insufficient regional rail /public transport network,Sparse or insufficient regional rail /public transport network,12,Macro,Economic,3.48,Factor,1,3.6,12.60912,"#eb1c00"
Inadequate regional investments,Inadequate regional investments,13,Macro,Economic,3,Factor,6,17.93,58.81987,"#eb1c00"
Lack of adequate and varied transport connections,Lack of adequate and varied transport connections,14,Mezzo,Economic,3.44,Factor,1,3.58,12.544625,"#eb1c00"
Lack of sufficient and diverse enterprises and industrial zones,Lack of sufficient and diverse enterprises and industrial zones,15,Mezzo,Economic,2.96,Factor,4,11.95,39.535828,"#eb1c00"
Lack of sufficient and varied job opportunities,Lack of sufficient and varied job opportunities,16,Micro,Economic,3.92,Factor,6,20.68,67.68795,"#eb1c00"
Insufficient or infrequent public transport facilities,Insufficient or infrequent public transport facilities,17,Micro,Economic,3.52,Factor,1,3.62,12.673615,"#eb1c00"
Inadequate communication and internet access,Inadequate communication and internet access,18,Micro,Economic,3,Factor,2,6.14,20.799999,"#eb1c00"
Lack of soil quality for agriculture,Lack of soil quality for agriculture,19,Micro,Ecological,3,Factor,1,3,10.674267,"#28b36a"
