Cut-off	Exclude	jaccard_top_3	jaccard_top_5	jaccard_top_7	jaccard_top_10	Spearman
2.0	1	1.0	1.0	1.0	0.8909090909090909	0.9804545454545457
2.5	1	1.0	1.0	0.75	0.8181818181818181	0.8872727272727274
3.0	1	1.0	0.6666666666666665	0.75	0.8181818181818181	0.7718181818181818
2.0	2	1.0	1.0	0.9631578947368421	0.896650717703349	0.9799043062200957
2.5	2	1.0	1.0	0.7552631578947369	0.8181818181818181	0.889377990430622
3.0	2	1.0	0.6736842105263159	0.75	0.8181818181818181	0.7841626794258374
2.0	3	1.0	1.0	0.9467105263157894	0.8993620414673048	0.9794098883572567
2.5	3	1.0	1.0	0.7592105263157894	0.8183413078149921	0.8828070175438597
3.0	3	0.999561403508772	0.6850877192982456	0.7206627680311891	0.8181818181818182	0.7595933014354067
2.0	4	0.9998968008255934	0.9999312005503955	0.9309081527347781	0.9103105356975327	0.9791631485129938
2.5	4	0.9998968008255934	0.9999312005503955	0.7761208576998051	0.819307627357163	0.8907308377896614
3.0	4	0.986171310629515	0.684733893557423	0.7001686628931211	0.8181818181818182	0.7409306689182851
